Name,Economic,Temporal,Convenience,Sociopsychological,Quality,Other,Total
安允牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
十全牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
南芳牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
惠森牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
慶生牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
天保牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
良璦牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
立民牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
聯宇牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
東洋牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
民光牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
慶祥牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
大湳牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
爾美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
潔恩牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
十大牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
陳建成牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
千大牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宏倫牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
新格牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
優美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
福安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
中悅牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
興豐牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
禾悅牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
樂沛牙醫診所,0.000,0.000,0.000,0.000,2.125,1.775,2
優品牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
康爾牙醫診所,0.000,0.000,0.000,0.000,4.150,0.000,2
泰豐牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
廣福牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
米淇牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
上新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
博隆牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
杏昌牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,2
龍潭陳牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
傅牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
明德牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
第一牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
台林牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
詠嘉牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
偉翔牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
北龍牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
維安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
龍潭喬治牙牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
學林牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
名人牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
龍華牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
青蘋果牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
瑞龍牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
欣揚牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,2
國家中山科學研究院石園牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宏昌牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
潔明牙醫診所,0.000,0.000,0.564,1.657,0.607,2.195,7
健行牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
明皓牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
和平牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
今人牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
全美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
精品牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
誠泰牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
杏華牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
現代牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
景福牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宜安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
大安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
耀潔牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
伯恩牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
清新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
豐禾牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
米樂牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
明樓牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
文中牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
柯壹牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
向樂牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
維康牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
維多麗牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
長青牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
葉倫穗牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
綺美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
佑達牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
怡安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
草漯牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
旭東牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
家福牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
揚洋牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
偉恩牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
