hospital,content
╖эеNд·┬х╢Eй╥,┴┐иь│п┬хоv▓╙д▀д╬╢Kд▀к║и╥дlбAпuк║дг│╙кT┴|бC┴|и╥и╙╗ббA10/6▒▀дWж^╢EмOнn└╦мd┤╙д·дт│Nк║╢╦дfкмкpбAдг╣L│п┬хоvжbм▌иьз┌╝LоBдWк║│цп┬пpпl╡▓пmлсбA░идWеm└{зU▓z╡╣з┌д@▒°бидfд║╗IбибAеHзKз┌жb│s░▓о╔нY╝Lп}╖|зфдгиьжaдшкv└°бAпuеi┐╫┬хк╠дўе└д▀зrбI
╖эеNд·┬х╢Eй╥,жb▒╡и№│п┬хоv▒M╖~кv└°к║│oмqо╔╢бд║бAз┌к║д·┼iй╬д·╛ж┤Nе╝жAеX▓{еЇжєдг╛AбAз┌▓M╖бжa╖Pиьз┌зф╣яд·┬хоvдFбCнY▒zд]ж│д·йPпfй╬д·╛ждшн▒к║зx┬ZбA╣││п┬хоv│o╝╦▓`иун@д▀бB▓╙д▀бB╢Kд▀к║▒M╖~д·┬хоvбA╡┤╣ямOдгеiжh▒oк║│╠и╬┐я╛▄бI
╖эеNд·┬х╢Eй╥,PS. │п┬хоvк║зU▓zд╬┼@▓zоv╣╬╢дд]│гл▄▒M╖~д╬┐╦д┴│сбI
╖эеNд·┬х╢Eй╥,"▓─д@ж╕и╙╢Wп┼║Є▒i
ж]м░╢Wй╚м▌д·мь
ж¤мO┼@дhпuк║жn┐╦д┴
д╡д╤йп╣B╡╣зdл│дZзd┬хоvм▌╢E
дHл▄дг┐∙бI
зU▓zзї▓Q╝zд]л▄╞gбI
дUж╕жAи╙ж^╢EбAбC"
╖эеNд·┬х╢Eй╥,ж]м░к¤е═┤╝╛жй╥еHи╙иь╖эеNд·┬х╡╣┐рлTж┌┬хоvй▐д·бA▓─д@ж╕й▐д·┼¤з┌лD▒`║Є▒iбAж¤мO╛ун╙└°╡{иSз┌╖Q╣│к║еiй╚бA┐р┬хоvлD▒`к║▒M╖~▓╙д▀бA╕╘▓╙к║╕╤╗б╖эдUк║└°╡{д╬│B╕m╡▓кG┼¤з┌йёд▀дгд╓бAж╙еBеuксдFеbн╙дpо╔┤NзтдWдUит┴√┤╝╛жй▐з╣
╖эеNд·┬х╢Eй╥,"и╙╖эеNм▌д·╛жд]жnд@мqо╔╢бдF,
▓{жbж^╢E╖P─▒┤N╣│ж^оaд@╝╦к║▓▀║D,
пuйп╣B╖эеN┤Nжbоaк■кё,
и╙╖эеNм▌д·╛жпuк║╕ЄеHлeм▌д·╛жл▄дгд@╝╦,
л▄жhдH╖|ж│м▌д·┬хк║ог─▀╖P,
│o╕╠дге╬╛сд▀,
еHлeк║лD▒`╡h -> ╖эеN╡y╖L╡h
еHлeк║╡y╖L╡h -> ╖эеNдг╖|╡h
╕█д▀к║▒└┬╦╡╣дjоa!"
╖эеNд·┬х╢Eй╥,"нье╗дгд╙╖R╖╙┼Uд·╛жк║з┌бAдглч╗Є│▀┼wм▌д·┬хбAж¤мOи╙╖эеNлспuк║дjзя╞[бI
дг╜╫мOй▐┤╝╛жбAй╬мO┤_╡oк║│Eд·│B▓zбAиH┬хе═│гмJ▓╙д▀дS╢Kд▀к║кv└°жnдFбI
д]╖P┴┬нYз░д╬оa╖Oжbо╟├фк║└░жгбI
лD▒`╖P┴┬кBд═б]йs╝фб^к║▒└┬╦"
╖эеNд·┬х╢Eй╥,дWмP┤┴┤Nдw╕gе┤╣q╕▄╣wйwд╡д╤дpл─дUд╚16:30м▌╢EбAпSжa╜╨░▓бA╡▓кGншнше┤╣q╕▄и╙╗беiеH┤глe╢▄бH┬хе═е|┬Iлсж│и╞бAл▄─ъбBл▄иSиюл╫бA┬хе═к║о╔╢б┤NмOо╔╢ббAзOдH│гдw╕gпSжa╜╨░▓┴{о╔нnзя┤NзябAеHлс╡┤дгеhбA│o╗Є╖|йё┬Fдlк║╢Eй╥бAз┌д]╖|жnжn└░зAн╠л┼╢╟д@дU
╖эеNд·┬х╢Eй╥,┴┬┴┬╢└x╡·┬хе═н@д▀.▓╙д▀к║└░з┌кv└°д·йPпf
╖эеNд·┬х╢Eй╥,дгдй╕m╡√
╖эеNд·┬х╢Eй╥,"╖P┴┬(иHз╙оe)┬хоvк║▒M╖~╕Є▓╙д▀
д]┴┬┴┬зU▓zб]оa╖O&нYз░б^н@д▀╗P╢Kд▀"
╖эеNд·┬х╢Eй╥,"╖P┴┬бuиHз╙оeбv┬хоvк║▒M╖~
йMзU▓zб]оa╖Oб^н@д▀к║╖╛│q
┼¤з┌к║╖Lп║ж▒╜u┼▄▒oзєм№
зєе[ж│ж█лHбI"
╖эеNд·┬х╢Eй╥,д╡жн┬╨╢Eз╣╡o▓{иодl│QйьжQдFбAж]м░еXк∙о╔з╤дF▒a┐·е]бAиндW│гиS┐·бAд]дгмO╖эжaдHбAй╥еH╗░з╓╢]ж^╢Eй╥╜╨┬d┬iдpйj└░жгбA░▌жoеi└░└░з┌е¤н╔з┌2000жn┼¤з┌здиоеh╗тиобAжoиSж^╡кбAз┌дS╗б┴┘мOеi▒qз┌┤╙д·к║┐·е¤жй2000┴┘з┌бAз┌дUж╕├║╢Oд@и├жA╕╔╗ЇбAжo╗бдгеiеHбAз┌╗б┴┘мOз┌индWж│10000жhк║ж╩│f┬зиўеiе¤└г╡█бA╜╨жoн╔┐·╡╣з┌еh╗тиобA└░└░з┌бCеL╗б:дгжц~з┌к╛╣DзAдгпр░╡еDж¤мOзA│s└░з┌╕▀░▌к║░╩з@│гиSбAеuмOзджb┤╚дlдW░╡ж█дvк║и╞бAз┌дгмO╕ЇдHе╥ил╢i╢Eй╥н╔┐·нCбIз┌жbзAн╠╢Eй╥ксдF20┤X╕Uе╬д·╛жбAз┌и├дгмO╢°л╚кс┐·мOж╤дjк║║Aл╫╜╨зAн╠└░жгбAд]дгмO╡L┬зк║нnиDбAжn┴nжnоЁк║лЇ░UзAн╠└░жгм░д░╗Є│s╕▀░▌к║░╩з@│гиS~┤Nйёз┌жbо╟├ф║Є▒i╖Q┐ькkбAд@дjжн▒q╖sж╦иь╢Eй╥┬╨╢EбAзфдгиь░▒иооц░▒жbе╒╜uиS╖Qиь╣JиьйьиобAзєиS╖Qиь╢Eй╥к║║Aл╫и║╗ЄзN▓HбAл▄еOдHд▀┤H
╖эеNд·┬х╢Eй╥,д╡д╤е╗и╙мOнn┴Bе┐д·╛жк║бAлoж]нn├▒дUд@еўиv╣│╖╙д∙┤ги╤╡╣еLн╠д║│би╧е╬бAж¤ж]з┌╗{м░з┌мOж│┐я╛▄┼vдг─@┤ги╤бAй╥еHдг├▒жXжPбAйMз┌╣я╕▄к║┼@дh│║╗беXи║з┌н╠д]еiеHдг└░зA┴Bе┐бI│s░й░vеtе~нnжм╢Oд]мOлси╙д~╗ббA╖P─▒пuк║л▄оt_з┌дзлe░╡к║╗беiеHж^жйбA▓{жbд]┼¤з┌╖lевдгд╓бI
╖эеNд·┬х╢Eй╥,┬хоvк║▒M╖~┬х│Nл▄еOдHйёд▀бAзU▓zн╠к║кA░╚д]лD▒`┐╦д┴бAдгкPз┌пSжa▒qлn│бдWи╙┤N╢E(┴Ў╡Mл▄ипнW )
╖эеNд·┬х╢Eй╥,з┌╖|ж╥╝{─~─Єе┤┐iдUд@┴√д·╛ж_
╖эеNд·┬х╢Eй╥,"╕н┬хоv:з┌мO▒z╖и▒Ўд╤жипf▒w---│пд╤┼я..жhж~лe,╢}иоо╔┼еиьи╚ж{╣qеx╝s╝╜:▒zд╢▓╨д·╢gпf,ж]м░▒z▓`ишж╙░╚╣ъprofessional▒M╖~..╢}▒╥дFзAз┌д·дзо╚,┤╙д·5┴√,й|ж│2┴√о┌║▐кv└°.,д@┴√д·о┌д┴░г│N....│г┼уе▄▒zк║▒M╖~й╩...з┌жbлeж~ечд▐┬╦,╖эо╔┴┘┼кдj╛╟к║ирдl,й▐▒╝дp╢Eй╥нn┬р╢Eк°й░,,(┤╝╛ж┤┬д·д║дге┐▒`е═к°)....▒z│г└░з┌╕╤иMдF...д▀├h╖Pож..и║д╤кYйyи╙╣qкэе▄зя┤л┬хоv...з┌amazing...shock..дгпр▒╡и№..why??еuз╞▒ц▒zе╝и╙жb╖и▒Ўж│╛┌┬I..┼¤з┌д╬оaдHvs,┐╦кBжnд═..пржwд▀▒M╖~к║└uиq┬хоvкA░╚,,,,╡╣▒zжb╖и▒Ўд╤жи╣яз┌к║кA░╚..╞g...plus+max+1........yours sincerely........"
╖эеNд·┬х╢Eй╥,┬d┬iйjйjк°▒o║}лGбAзU▓z┐╦д┴дS╢Kд▀бA┬хе═н╠│гл▄└uиqд]л▄ж│н@д▀~
╖эеNд·┬х╢Eй╥,"╖экьз┌к№д╜ж]м░дг│▀┼wмб░╩░▓д·└╣░_и╙к║╖P─▒
й╥еH┼е▒ч┬хе═к║л╪─│зя░╡all on 4к║е■дf┤╙д·
▓{жbк№д╜┴┘╞Z║б╖Nк║ ╢iн╣д]│гиSд░╗Є░▌├D~"
╖эеNд·┬х╢Eй╥,"ж]м░▒qдp┤N╣ям▌д·┬хж│н╙│▒╝v
лe░}дl│Eд·д]дг┤▒еhм▌┬хе═ лси╙┼еиь╖эеNд·┬хж│┬э└R│┬╛K│o╢╡└°╡{йємO┤Nлeеh╕▀░▌ ╕╠н▒к║┬хе═д╬зU▓z│гл▄▓╙д▀к║╕╤╗б
д╡д╤╕g╛·┬э└R│┬╛K│Nлс ┼¤з┌─▒▒o┤N╣│мO║╬дFд@─▒ з╣е■иSж│ог─▀╖P ┼¤з┌─▒▒oньи╙м▌д·┬хд]пржpж╣╗┤├P ╖P┴┬╖эеNд·┬хй╥ж│╣╬╢д"
╖эеNд·┬х╢Eй╥,"│oитн╙дым░дF╛укvд·╛ж┤XеGиCн╙┤X╢g┤Nи╙╢Eй╥│°иь
╖Pи№иь┬хе═йM┼@дh│гл▄д═╡╜
д╫ифз┌е╗инл▄й╚╡h дг╣Lкv└°╣L╡{дд┬хе═│гл▄▓╙д▀ л▄┼U╝{з┌к║╖Pи№
дSл▄н@д▀ж^╡кз┌к║░▌├D кA░╚║Aл╫пuк║л▄┤╬!"
╖эеNд·┬х╢Eй╥,з┌─▒▒oд·┬хд╙╝Fо`╣╞_нnз╘н@л╚дHк║дfпф┴┘нnжw╝╛л╚дH║Є▒iк║д▀▒б┴┘нn╛сд▀л╚дH╖|дг╖|дг╡╬кAпuк║╢WзQо`к║о@!╝K╝Kз┌├a▒╝к║д·╛жжbг╕░}дl┤N╖|н╫жn╣╞~пuк║л▄з╓_▒└┬╦еL╣╞<<иHз╙оe>>_мOжь╖┼мXк║д·┬хл╙нЇ.┼@дhд]л▄║}лGжpкGд·╛ж╕Єз┌д@╝╦├a▒╝к║з╓з╓еhзфеLзaбIдг╖Q╡ек║╜╨е¤╣wм∙~
╖эеNд·┬х╢Eй╥,╖эеNй·╖s....╣∙йmдk┬хоv╖P─▒л▄╝┼нlдfоЁдSоt...........е├╗╖дг╖|жAеhдF
╖эеNд·┬х╢Eй╥,╖эеNд·мь┤╙д·╣╬╢дк║┬хоvжUн╙▒M╖~дS┐╦д┴!иCжь┬хоv┤╙д·╕g┼чд]л▄┬╫┤I
╖эеNд·┬х╢Eй╥,╢iк∙╖P─▒л▄жh кA░╚дг┐∙
╖эеNд·┬х╢Eй╥,┬х│NжnбAкA░╚и╬бAж¤мO┤NмO╗∙┐·░к
╖эеNд·┬х╢Eй╥,"Sangat baik,dokter gigi.karena gigi adalah mesin qita."
║ёе·д·┬х╢Eй╥,лD▒`▒M╖~дS▓╙д▀к║╕ни╬▒l┬хоv бAз┌н╠е■оaдHк║дf╡─░╖▒d│г╛aеL бC
║ёе·д·┬х╢Eй╥,┐╦д┴к║┬хе═бA░кй·к║│NбA┼¤м▌д·┬хдгжAог─▀бI
║ёе·д·┬х╢Eй╥,"╕нл╪╖s┬хе═пuк║л▄дг┐∙~~
▓╙д▀бB╖┼мXбAеJ▓╙к║╗бй·бT
л▄╖P┴┬й╥ж│к║┼@дhд╬кA░╚дpйjбA╖PожзAн╠бT"
║ёе·д·┬х╢Eй╥,╢W│▀┼w╖┼мXдSл╒└qдS▒M╖~дS▓╙д▀к║╕н┤╡мX┬хоv___
║ёе·д·┬х╢Eй╥,"2016/01/29
┼у╖L╕╔д·д@жb║ёе·д·┬х"
║ёе·д·┬х╢Eй╥,"дGдQ┤Xж~дFз┌к║д·│гмO
╕н┬хоvм▌к║
▓╙д▀к║еL┴┘дг┬_к║╢iн╫
еhж~жbFBдWм▌иьеLеhж╠─ї┼у╖L▒╨и|ддд▀╢iн╫
д╡д╤з┌┤N▒oиьзє░кл~╜шк║┬х└°
╢E└°╢бж│е¤╢iк║│]│╞
4Kк║дj┐├╣їеi▓M┤╖м▌иь
╕╔д·лeлск║кмкp
жэжbл░__ж│╕√жhк║┬х└°╕ъ╖╜мOйп║╓к║
░╛_жa░╧еi┤NиSи║╗Єйп╣BдF
дзлeм▌╣Lд@лh│°╛╔░к╢пд╗└tдHдfд@╕UжhдH
лoиSж│д@оaд·┬х╢Eй╥
йпжnж│и╟д·┬х╜№мyеhжэ╢Eб]╖qи╪б^
дpдpд@н╙еx╞Wл░_оt╢Z
┴┘мOл▄дjк║
┤┴л▌мFй▓жAе[зтлl
е┴╢бд]прк`дJзєжhк║╕ъ╖╜иь░╛_жa░╧"
║ёе·д·┬х╢Eй╥,╖A╖Aд╢▓╨з┌еh║ёе·д·┬хзф╕нл╪╖sеDеЇ▓─д@ж╕к║╖P─▒░о▓b │╠нлнn жbи╙┤NмOеDеЇ▓╙д▀ ┼@дhн╠л▄╢Kд┴ з┌┤╙дF3┴√д·пuк║л▄┤╬ ┴┬┴┬еDеЇ ┼@дhн╠бI
║ёе·д·┬х╢Eй╥,╕нл╪╖s┬хоv▒M╖~бA┼@дhн╠│гл▄┤╬бI
║ёе·д·┬х╢Eй╥,"└u╜шкA░╚
VIPм╙оa┬х└°│]│╞
┬хоvл╙.┼@дhм№"
║ёе·д·┬х╢Eй╥,╖P┴┬╕нл╪╖s┬хоvд╬зU▓z╝┌дpйj
╝┌░▀ий┤╡д·┬х╢Eй╥,"107/3/3 [д·оMдщ░ODay1]
д@╢}йlж│дF┴Bе┐к║╖Qкkлс, ╢}йl│░─Є┐╘╕▀дFдноaд·┬х,
│╠лс▓╫йєдUйwиMд▀жb╝┌░▀ий┤╡░╒! ░гдFец│qдшлKбB╗∙оцеiеH▒╡и№е~, еDнn┤NмO┐╜┬хе═╗P╢Eй╥└Ї╣╥╡╣з┌к║╖P─▒л▄жwд▀
д╡д╤▓╫йєнn╕╦┴Bе┐╛╣, зU▓z▓╙д▀жa└░з┌м~з╣д·лс, е╤┐╜┬хоv╕╦дW┴Bе┐╛╣
╣L╡{дё╖Q╣│дд┴┘з╓, ┐╜┬хоvд]ж│пSзOеm└{дгнnжY▓вн╣д╬зt┐}бB║╥╗─╢╝о╞,
м░дFд·╛жк║░╖▒d╡█╖Q(м▌прдгпр╢╢лK╜Gинxd)┴┘мOи─и─жa┐эжu┬х┼ёбA╢}йlз┌к║д·оMдHе═~~"
╝┌░▀ий┤╡д·┬х╢Eй╥,┐╜┬хоvз▐│Nпuк║л▄жnбZпuк║з╣е■дг╡hбIй▐д·дг╡hбBе┤│┬├─дг╡hбBе┤░й░vд]дг╡hбI░гдF└░жгзтд·╛ж▒╞жC╛у╗Їе~ д]╖|├Ўд▀╕Є┴yлм╖|дг╖|жnм▌бIпuк║пuд▀▒└┬╦╡╣╖Qнn┴Bе┐к║дHбI╖экьз┌д]мO╕▀░▌дF5-6╢ббAм╞ж▄д@л╫нnйё▒є┴Bе┐бIмO┐╜┬хоv╡╣з┌лHд▀бA┴Bе┐иь▓{жbд]мOл▄║б╖N│сбZ
╝┌░▀ий┤╡д·┬х╢Eй╥,"┴Bе┐д·╛ждщ░OJan.-5
╖QдF╡L╝╞ж~бB┼еи·кBд═╖NигбB┐╘╕▀дF3н╙дыбB╢]дF7оaд·┬х╢Eй╥бK▓╫йєдUйwиMд▀жb╝┌░▀┴Bе┐з┌к║д·╛ждFбI
нш┐╘╕▀о╔╢Eй╥░╡к║┴Bе┐│°зiлD▒`╕╘▓╙йM▓╙д▀бA┬хе═д]йMз┌╗бй·дF╗Pз┌├■ж№к║о╫и╥┼¤з┌ж│д▀▓z╖╟│╞бAньеHм░д@╢}йl┴Bе┐┤Nдгд╙пржYкFжшдFбA┬H┴Bе┐╛╣╖эд╤д]╢╢лK╕╔│Eд·бAж^оaлсд·╛ж╗─╗─│n│n┴┘жhд╓еiеHз]лrкFжшбFж^╢E┤л╜uлсд·╛жд]╛A└│к║л▄жnбA│╗жhд─иь2бB3ж╕╝Lе╓д]дг╖|╡hбAдUж╕еh┤Nнn╕╦░й░vйMй▐д·дFбA╢Vи╙╢V┤┴л▌з┌к║д·╛жеiеH┼▄м№бA┬хе═йM┼@▓zоvд]л▄л╒└qн╖╜ьдг╖|┼¤з┌║Є▒iбI"
╝┌░▀ий┤╡д·┬х╢Eй╥,▒q╕╦дW▒╞┴Bе┐╛╣иь▓{жbдw╕gдTн╙┬злЇбA▓─д@д╤╕╦дW▒╞┴Bе┐╛╣еuж│д·╛ж│Q╕nжэк║╖P─▒бA▓─дGд╤ж▄▓─днд╤╖P─▒д·╛жж│╖L╗─╖PбFиье╪лeм░дю┴Bе┐╛╣│гиS▒╝╣LбA┤┴л▌дUж╕к║┤л╜u
╝┌░▀ий┤╡д·┬х╢Eй╥,┴Bе┐▓─дGн╙дыдFбAз┌еuпр╗бд╙плй_дFбAй▐д·иьдW░й░vз╣е■иSж│╖P─▒бA┤Nжbдгк╛дг─▒к║▒бкpдUз╣жибAз╣е■о°░гдFй▐д·к║дгжw╖PбAд·╛ж║C║Cк║жb▓╛░╩бA┤┴л▌дUж╕к║м▌╢EбC
╝┌░▀ий┤╡д·┬х╢Eй╥,┬хе═╕Є┼@дhдH│г╢Wжnд╫иф┬хе═┬х│N░кй·бZбZ
╝┌░▀ий┤╡д·┬х╢Eй╥,д@йwнnи╙│o╕╠┴Bе┐бAм№дддгимк║┤NмO┴yо╤еuпр╡╣д@ж╕╡√░┌бIдг╡MиCж╕ж^╢Eлс│г╖|╖Q╡╣дн┴√мPбCе┤░й░vпuк║дг╡hбAплдгк╛░ндг─▒жa┤NжnдFбCжn┤┴л▌дUн╙дыж^╢E_
╝┌░▀ий┤╡д·┬х╢Eй╥,"┴Bе┐day1 д╡д╤дWдFдW▒╞┴Bе┐╛╣ д·зUд@╢}йlе¤└░з┌░╡╛ж╝╥╗P▓M╝фбAдзлс┐╜┬хоv└░з┌дW┴Bе┐╛╣~
╣L╡{дд│гл▄╢╢зQд]иSд░╗Єдг╛A╖PбA┬хоv╕Єд·зU│гл▄╖┼мXбIбIж^оaлс╢}йl╖Pи№иьжAй╘д·╛жк║╖P─▒бA┤┴л▌дUж╕ж^еh┤л╜u╜╒╛у"
╝┌░▀ий┤╡д·┬х╢Eй╥,107/03/02 ╢}йl╗Pд·оMм█и╠м░йRбAж]м░д·╛жд·┴_дjд@к╜еHи╙п║оe│гмO╢у╡█╝Lд┌бAйч╖╙д]дг┤▒▒i╝LбAзф┤MдFл▄жhд·┬хж¤╝┌░▀ий┤╡мOз┌╗{м░┼¤дH│╠йёд▀к║д@оaбAж]м░┐╜┬хоv│zй·д╞к║┴┐╕╤дг╣│зOоaеu╖Q┴╚зAк║┐·бA├Ўйє└°╡{дW│г┴┐к║лD▒`╕╘▓╙бAмQд╤▒aиь▓{жbиSж│пSзOк║дг╡╬кA│╠жh┤N─▒▒oд·╛ж║Є║Єк║бAз┌─▒▒oд·╛жмO╕Є╡█ж█дvд@╜·дlк║бAз┌д]дг╖Qжb┬├╡█п║оeбAз╞▒цпржн┬I┼▄л╙нЇбA┤┴л▌иCд@ж╕к║┼▄д╞д╬╗P┐╜┬хоvк║л№е▄бI
╝┌░▀ий┤╡д·┬х╢Eй╥,"▒q│╠лсд@ж╕┤л╜uиьд╡д╤дw╕g╣LдFд@н╙┬злЇдF
з╣е■╛A└│▒oл▄жnбZ
┤XеGиSж│пk╡h╖PбAеuмOжbнш┤лк║о╔н╘ж│┬I║Є║Єк║ж╙дwбZбZ
жb╣Lд@н╙┬злЇ┤Nнnиь╢i╢епZ-е┤░й░vбZлD▒`к║║Є▒i
ж█▒qз┌└╣д·оMдзлсбAз┌│г─▒▒oз┌ж│╕╦╕ЄиS╕╦д@╝╦
ж]м░з╣е■иS╖P─▒бAжYкFжшд]еiеH║╔▒бк║жYбZ
┬хе═д]╗беsз┌нnдpд▀бAж]м░кv└°дг╖|╡hбAл▄жhдH│гнDдFдTе|д╜дчбZбZбZ
ж¤мOж]м░└╣дWд·оMдзлсбAд]┼▄▒oдё╕√┤▒п║дFлвлвлвбZ
┼@дhд]л▄▓╙д▀бAз┌иCж╕еh┤лд@ж╕╜uбA┼@дh│гл▄╖┼мX
д]л▄ж│н@д▀к║▒╨з┌д@и╟д·╛жк║│B▓zдшжббAиCн╙┼@дh│гм█╖эк║ж│н@д▀бZ
й╥еHз┌кv└°к║лD▒`╢}д▀бAд@┬I│гдг╖|ж│└гдO
┬хе═дHд]л▄жnбA╖|╛Aо╔к║├Ўд▀з┌д·╛жкмкpбZ
▒q└╣д·оMд@к╜иь▓{жbбAз┌│г─▒▒oиSж│дг╛A└│к║жaдшбA░гдFжYз╣кFжшнnд@к╜иъд·дё╕√│┬╖╨бZбZдг╡Mд@д┴│гл▄╛A└│
▒╡дUи╙з┌┤Nнnе┤░й░vдFбA╗бпuк║бAз┌иф╣ъиSж│л▄о`й╚бAж╙мOл▄┐│╛─бA▓╫йєнn╢iдJиьдUд@н╙╢емqдFбZбZбZ
жb╝┌░▀ий┤╡┴Bе┐и├дг╖|┼¤з┌╖Pиьо`й╚бAж╙мO╖|┼¤з┌л▄╢}д▀м▌иьж█дvк║┼▄д╞бZбZбZбZ"
╝┌░▀ий┤╡д·┬х╢Eй╥,11дыеў▓─д@ж╕╕╦дW▒╞┴Bе┐╛╣бAнш╢}йlж│┬I║Є▒iбAж¤ж]м░┼@дhдpйj│гл▄┐╦д┴дS▓╙д▀бA║Є▒iк║╖P─▒┤юд╓л▄жhбA┐╜┬хоv░╩з@л▄лW╕идSз╓_┴┘╖|жw╝╛дH_┼¤з┌н╠дгй╚_нш╕╦дW┴Bе┐╛╣о╔бAеu─▒▒o╝Lд┌ж│кFжш╕nжэбAдг▓▀║DбAд·╛жлe┤Xд╤│г╖|ж│┬I╗─╗─│n│nк║╖P─▒бA░гдFдё╕√дгпржY╡wк║кFжшбAифеL│гмO▓▀║D┤NжnбZньи╙....└╣д·оMиSж│╖Q╣│ддк║еiй╚д]иSж│дг╛A└│бAжb╝┌░▀ий┤╡пuк║иSж│╡hк║╖P─▒бZбZбZ
╝┌░▀ий┤╡д·┬х╢Eй╥,┐╜┬хе═дгеu┐╦д┴╖|╗бп║╕▄ж╙еB┴Bе┐з▐│Nпuк║╢WжnбAз┌▒qеhж~дндыиь▓{жbй▐дFд╗┴√д·╛жбA│sд@┴√дю╡h├─│гиSжY╣LбAж╙еBиCж╕ж^╢EеLд@йw┐╦дO┐╦м░(│o╢Wнлнn!)бAл▄╝yйп╖экь┐я╣я╢Eй╥бAиь▓{жb┴┘мO╢Wп┼║б╖NбC
╝┌░▀ий┤╡д·┬х╢Eй╥,3/21┬HдW▒╞┴Bе┐╛╣бA╣L╡{д·╛жиSж│дг╡╬кA╖PбA╣jд╤жYкFжш▓дм░╡LдOбAе╪лe▓─дTд╤бA░гдFдгжn▓M▓zд·╛же~бAифеL│г╛A└│и}жnбC
╝┌░▀ий┤╡д·┬х╢Eй╥,д╡д╤▓─д@д╤дW┴Bе┐╛╣бAд·зUл▄┐╦д┴к║└░з┌╖╙дFXе·йM░╡╛ж╝╥бBд·╛жк║▓M╝фбAиSжhд[┐╜┬хе═и╙дFбA┐╜┬хе═д╙╝Fо`дFбAд·оMд@дU┤N╕╦жnдFбA└╣з╣лсд·зU└░жге╬дW╜uбA░╩з@д]│гл▄лW╕ибI└╣дWлс│гиSж│дг╡╬кAк║╖P─▒бI┤┴л▌дUж╕ж^╢EбI
╝┌░▀ий┤╡д·┬х╢Eй╥,"▒q┴Bе┐к║▓─д@д╤иь▓{жbитн╙дыдF
к∙д·к║зя┼▄лD▒`й·┼убA╢}д▀┼▄╛у╗ЇдFл▄жh_
итн╙ды┤Nй·┼уж│о─кGбAжn┤┴л▌итж~лсжикG
┴Ў╡M┴Bе┐│o▒°╕Їи├дг╗┤├PбAж¤мOз┌ж│лHд▀еiеH░эл∙дUеhбAд]л▄лHеЇ┐╜┬хоvк║▒M╖~"
╝┌░▀ий┤╡д·┬х╢Eй╥,иMйw┴Bе┐дзлe│╠╛сд▀к║┤NмO░й░v│бд└бA┼едFин├фкBд═д╬║Ї╕Їкждхлск║╖P─▒д]лD▒`дгжwбA│Nлс╡oквбB├P▓цбKбK║╪║╪░▌├Dжbз┌е┤з╣░й░vлс├╥й·о┌е╗дг╗▌нnж█дv└~ж█дvбAдг║▐мOй▐д·┴┘мO░й░vбA│NлскмкpлD▒`и}жnбAдт│Nд]мO╡L╡h╢iжцбA│┬╛K░hдFд]иSж│д░╗Єдг╡╬кAбIлD▒`║б╖NбZ
╝┌░▀ий┤╡д·┬х╢Eй╥,"┐╜┬хоvй▐д·з▐│Nл▄жn│tл╫л▄з╓
й▐к║╣L╡{дг╖|╖Pиьпk╡h
┼@дhл▄ж│н@д▀ кA░╚║Aл╫л▄жn
╢Eй╥└Ї╣╥й·лG╝e┤п"
╝┌░▀ий┤╡д·┬х╢Eй╥,дS┤лдFдU▒╞╜uбAйjйjл▄╖┼мXк║╕▀░▌╖|дг╖|пkн■╕╠дг╡╬кAд░╗Єк║бA╖P─▒╖┼─╔бC
╝┌░▀ий┤╡д·┬х╢Eй╥,д╡д╤╕╦дW▒╞▓─дTн╙┬злЇдFбAд@д┴│г╢}йl╛A└│дFбAеiприCн╙дHд·╛жкмкpдгжPбAй╥еHз┌ксдFж│┬Iжhк║о╔╢б╛A└│бAж¤╖эз┌▒╡иь┼@▓zдHн√е┤и╙░▌з┌д·╛жкмкp┼¤з┌─▒▒oжwд▀л▄жhбAд]зтз┌к║кмкp╕Є┼@▓zдHн√╗ббAдUж╕еh┤л╜uо╔д]мOдг┬_╕▀░▌з┌к║кмкpбA┼¤з┌─▒▒oо╔лD▒`е╬д▀жbз┌индWбI
╝┌░▀ий┤╡д·┬х╢Eй╥,"д╡д╤░╡┴Bе┐к║й▐д·
е╗инл▄й╚╡h
е·ж╥╝{└╣┴Bе┐╛╣д]╡S┐▌дFл▄д[
ж╙еBд╡д╤д]мOз┌дHе═дд▓─д@ж╕й▐д·
д╡д╤░гдFй▐д·д]нnе┤░й░v
з┌еuпр╗б┐╜┬хе═лD▒`▒M╖~
е┤░й░v+й▐д·дгиьд@д└─┴┤N╡▓зЇдF
((╢Xз┌д▀╕╠┴┘жb╖Q╖|дг╖|╡hдзо╔))
┼¤з┌лD▒`┼х│Y
│┬├─░hдFдзлс,е╪лeд]▓@╡Lпk╡h╖P"
╝┌░▀ий┤╡д·┬х╢Eй╥,дг╜╫мO┬хе═й╬мO╢Eй╥д║к║дHн√│гл▄┐╦д┴бA╢Eй╥└Ї╣╥д]л▄╡╬╛AбAдjдjн░зCдFм▌д·┬хк║ог─▀╖PбC▒q┴Bе┐иь▓{жbдw╕gд@ж~еbдFбA░гдF┤лз╣╜uлс╖|ж│┬Iдг╡╬кAе~бAиф╛lкмкp│гл▄жnб]┴Bе┐пuк║дг╖|╜GбA░▓к║XDб^бCй▐д·бAе┤░й░vд]пuк║│гдг╖|╡hо@бIе╪лe┤N│╤е|┴√┤╝╛жл▌╞[╣юбC
