name,content
yanli2,我都在群益做
cadan,推聖保祿，也在這邊做，只是要等超級久
cosy,8000~15000都是合理價格 看材質
Asato163,我在國鼎做這禮拜就要裝了，選內銀合金外牙齒色一萬二 含2%金牙釘兩千，共一萬四，以前也裝過其他顆目前耐用中 給你參考嘍
jcx,桃園市藝文特區那邊有家只做口腔外科拔智齒的!
afg73263,有任何問題反應 可客訴到壢新牙醫部的意見箱喔
kwinner,我看不太懂耶 在看診時不就知道可以處理還不能處理 怎麼怎麼到了第三次看診才說無法處理 前兩次看診是？ 推看兩眼也是要診察費的，我們真的很不重視別人長時間累 積的專業
bllove,醫師有說無法處理的原因嗎？態度差勁有沒有更明確的言語 或作為?畢竟跟其他版友的評價差很多 之前本來也考慮找王醫師拔智齒 但真的不好掛 沒必要說人家需要看眼科吧= =|||
grea0503,"怎麼跟我遇到的狀況完全相反@@ 護士有說明,醫生態度也好"
eva77,我也遇到同情形，不推王醫生
chto,推一樓的康喬，可以fb預約
jack008a,"推康橋 上次禮拜六連說話都不能說 好在康橋的醫生真是有 仁心,幫我拔智齒且也不好拔,拔了一小時左右,自費也只有 免拆縫線的項目,就不用再回診了,真是大大感謝康橋醫生."
zyra,想知道僅和王醫師相處時態度是如何差勁＠＠ 因為之前去拔時 王醫師的確是蠻忙的 幫我拔完之後馬上又要去幫其他人處理 所以好奇原PO是不是吃了閉門羹後 王醫師又馬上要去幫別人弄 所以覺得態度差勁？
XXXXXCAY,跟樓上說的差不多，會弄成這樣可能就是他前一次跟本沒仔 細看，就跑去弄別人的。 還有就是護理師也只是一直推自費的東西，而不是跟病患溝 通
HTCM9,壢新不是自詡南桃園最大嗎？ 這次的體驗就像上面幾位所說 感受不到醫師&護理師的專業... 我的牙是真的比較麻煩（水平智齒） 建議各位版友 簡單的case還是能去 麻煩的case就不要去勞駕王大醫師了 asd大是牙醫嗎XD 他第一次隨便看看就請護理師來說明自費項目了，因為他同時 接了不只一個病人= =
asd317035,來我這吧:P 我不是啦，我只是牙助..XD
liuyj,推康喬　那邊是口腔外科診所　不是一般牙醫　感覺就是整天 一直在挖智齒　每個去的病患都是為了智齒去的 如果沒有辦法馬上拔的　也可以在那邊做矯正　先把智齒拉正 之後再拔除
peggy60624,想問樓上矯正多少錢謝謝
cat715,我拔了兩顆水平 都是王醫師 而且態度都很好 還會和我聊天 護士們也都很好相處 禮貌客氣 真的很難想像 他會這樣子
b85040312,我也不推他 他馬的 上次他看了我的牙齒 一顆表示可以處 理  另外一顆難度比較他 他居然叫我直接去長庚 然後結束之後 他就只是看了一下 要收150... 甚麼治療都 沒做 另外一顆難度比較高 他居然直接叫我去長庚 給我的感覺就是他只想做好做的 難的就推掉 醫德去哪了? 護士當時跟我說我一顆要做膠原蛋白 3k 另一顆如果真的 想給王醫師做 要膠原蛋白5k 還是7k 忘了 原來歷新不算大醫院 我的是難度很高 所以被推 這叫運氣不好? 難怪牙醫 一家開的比一家華麗 還好我找到更好的方式 又不花錢 現 在智齒也根本不會痛 ps 難度很高是醫生直接講明 然後叫我去長庚 樓上是不是需要看眼科 而且他是可以處理的 護士有私底下跟我說可以 好嗎 我明明都有寫到 ubei 你拿美國的醫療跟台灣的比? 健保是假的就對了? 我只知道某人居然覺得儷新不是大醫院 收費還比長庚貴 那勵新是幹甚麼用的 負責收錢就好?
momo011,還好我都堅持約台北歐嘉德
AHsuanHsuan,我的水平智齒在家附近小診所就拔掉了 也頗順利
bluesky2,看了一下收150 這應該還好吧 畢竟那也是診察 雖然沒有治療會讓人感覺不太好 另外就是 一般會叫你 到大醫院去 通常是伴隨你有其他嚴重慢性疾病跟拔牙比較 有關聯的 這個一般診所會叫你直接去大醫院 但是壢新就 不應該出現這種問題 而且還是口腔外科專科醫師 這更不 應該 上面說的診所叫你轉診 可能醫師本身不是口外專科 那還有話說 可能生意做大了 這種基本拔牙也賺不到什麼錢 就不太想弄吧 現在的牙醫 出逃很多 通通都要你挑自費項 目 不然怎麼坊間牙醫診所一間豪華過一間
Qzzzz,給王醫師拔四顆，兩顆水平，態度都很好，和護士也有說有笑
lordguyboy,這種很明顯事病人太多 被推掉就是運氣不好而已 壢新在醫院分級頂多是區域醫院  在台灣來說不算大阿XD 說道太難處理就推掉  以我認識的牙醫說法 就是你技術再強也是有可能30%預後不好 這些預後不好的 一小部分人回診鬧個幾次就會熱血喪失殆盡了 一邊是自費好賺 一邊是吃力不討好  掛醫德就太重了 起碼他很誠實叫你轉大醫院處理
SuGoEa,本來沒辦法處裡就老實講 很正常啊 有些設備或技術沒辦法 處理 難道要硬著上 對雙方都不好吧 我看的牙醫也是說 這它沒辦法處理 叫我去長庚 很合理吧
sharkhead,看了不能處理 收150有什麼問題......？
annieashin,推康喬 真的厲害
Egiot,前年去藝文特區的康喬陳醫師，中午拔四顆水平智齒，晚上就 吃燒烤，給你參考一下
liuedd,不能處理也要收診察費啊，以為看兩眼不用專業？要不要看腦 科？
tinabbs,本想去找王醫師，還好都預約不到，已約康喬
et8810,我認真跟你說 去長庚 我的壢新幫我拔 我到現在都後悔 水平智齒真的很看醫生 加油
peacestar,上次去也是先只被診察，然後有問沒要現場拔的話那是否 可以補個蛀牙，結果被回說這去找普通牙醫診所就好。醫 生這樣直接拒絕病患是對的嗎？
mascherina,臺灣的醫療真的很便宜還有人嫌
ubei,人家看二眼是花了多少時間和經驗學來的 收個150也在唉 以前在美國帶室友看牙醫也是看一眼沒治療收150但是是美元
a127n,以後找家人幫你看就好啊，想看幾眼都不用收錢唷，啾咪
gn019628630,"特別跑到台北""歐佳德""讚x100"
kk8921647,王醫師本來是在804口腔外科的軍醫後來怎麼到壢新當醫師 最後怎麼當主任，不過很早壢新醫院牙科真的很強口腔癌 病人也可以開..至於之前醫師怎麼走光的..白色巨塔 請問原po第一次去時醫師有幫您智齒照片子嗎？如果第一 次去就有照片子應該就可以判斷是否要安排時間拔牙
b0690151,說真的坦白能力不足也是件好事，不然硬著頭皮挖對誰都沒 好處.....要知道願意說自己能力不足的醫生也不多的
sammnbv,我只看到有人花時間沒看到病在生氣 忽略醫生給的建議去大醫院看  分級治療的概念沒有
carolian,之前是給陳奕舟醫師拔的水平智齒，十分鐘結束
Candy1129,壢新牙醫護士態度不佳+1 超級不推壢新
Julia217,不推壢新!!! 態度很...
himandy813  ,搬家前也對米樂印象不錯，搬家後也覺得感覺變差
mokipu      ,我覺得醫生ok，但是櫃檯護士態度很差
dentyneice  ,要好評建議可以花錢去葡萄藤。另外，在中壢版被砲轟 德很慘喔？
arrio       ,是啊 虛心接受把負評改掉 針對上面我要說是輕微的喔 因為是喉嚨有腫 再加上又 哭 躺下來的時候才開始的
CookieNCream,感冒的時候不適合去吧，咳嗽要怎麼補？不只對病人危 險，直接對著牙醫師的臉咳嗽也讓人很無奈 能夠理解媽媽你的擔心，不過身體不舒服的孩子去看 牙是更難配合治療的，不好的經驗也容易造成孩子將 來害怕看牙
alcl07,"陽明公園附近慈恩牙醫，補很多年都沒掉，洗牙也不會痛但是 預約很麻煩 慈恩牙醫要中午去排隊，1點半開始登記約晚上7點以後,之前 有排到晚上10點，平日下午是2個月前預約"
dapy,之前朋友也有推薦我慈恩牙醫，看得不錯，要預約。百齡，我 也看過，沒有特別感覺，但有同事滿推薦，百齡可以掛現場。 向陽牙醫態度很好，我是帶小孩去看，自己沒看過。佳德牙醫 也不錯，要預約。健銓牙醫有一個老醫師，我覺得很厲害，麻 醉拔智齒，完全不痛，也沒有後遺症，但他會讓你覺得自己的 牙齒很爛。
djpro,慈恩跟向陽都約滿了 哭哭
skdoco,推薦桃鶯路上名華牙醫~靠全聯附近
,"中壢市龍岡路一段的郵局旁邊一點,有一家叫""大明牙醫""的,是預約制的,但是第一次去要等一段時間,有一個男醫師,技術不錯,拔牙絕對不會痛!"
,我會推薦 中壢 的大明牙醫 從小時候看到現在，地方乾淨 醫生人很好喔 
,桃園中壢後火車站的大明牙醫 推薦哦
,我在這邊也要推一下，是在龍岡路上的“大明醫科“ 這一間超好的（如果你是跟我一樣是超級超級怕看牙醫的人的話）選這一間就沒錯了，醫生人很好，不過就是預約的人實在太多了，所以要看的人要有耐心的等一下哦！！
,中壢元化路有一家叫 -森森牙醫-的我從小大大都從那家補牙.而且我在約12年前在那裝了假牙.一值都很好.不過是銀色的.所以我請他又幫我換了正常顏色的 到現在也2年了.完全沒有不適應的地方.這是他的電話03 4251295 去試試吧醫生是老經驗了.很直得信任的
,森森牙醫診所 要去的話要先約喔 因為那醫生客人超多
,森森牙科 這一家牙科店看起來沒有什麼 但是醫生的技術很厲害
,"我今天去良昇牙醫.... 裡面的護士是還不錯啦!很親切 雖然我不知道其他醫師怎麼樣 但是我看的這個醫師：英國倫敦大學牙醫碩士""許世明"" 爛爆了!!!! 我要洗牙，洗到整個流血，還噴到我的臉 整個超粗魯，完全沒有感受病人的痛 我要補蛀牙，才幫我補兩顆 就跟我說要預約下次門診，下次再來補其他蛀牙 擺明就是坑我錢，我就一次補好幹嘛下次再來壓！ 只會跟護士聊天 連漱口的水杯都不知道有沒有換 當他遞預約卡給我，差點就快氣死_ 不過我忍著接下，一定要讓大家知道這位醫師真是?好到爆炸? 如果要去良昇，千萬不要給他看"
,中壢火車站前面建國路上的良昇牙醫 院長是 牙醫公會的理事長 我們全家都是在那裡看喔 還不錯 不坑人的 
,推薦~良昇牙醫診所 在中壢火車站前站附近 我從小都在那看牙齒 今年去裝了顆磁牙 結果很滿意 我的同學都在那看牙齒 而且她們都是別人介紹去的 那裡的醫生都很好 而且各有各的特色 推薦你去~ 
,良昇牙醫診所 在中壢火車站前站附近 我前女友就在那邊給人家用矯正牙齒的 用得很漂亮喔！！ 漂亮到分手！！傷心 不過推薦你去~ 
,"哈哈哈..我也推薦良昇牙醫診所,我也是從小看到大喔^^ 不過一定要遵守預約,不然可是會等很久的唷~"
,市區的話推薦一家技術很好的，從補洞到拔智齒，我都在那邊看，可以去給他們看看 良昇牙醫診所
,"我推薦中壢火車站的良昇牙醫,我都是給院長黃亦昇醫生看的,真的很不錯喔!"
,"我今天去良昇牙醫.... 裡面的護士是還不錯啦!很親切 雖然我不知道其他醫師怎麼樣 但是我看的這個醫師：英國倫敦大學牙醫碩士""許XX"" 爛爆了!!!! 我要洗牙，洗到整個流血，還噴到我的臉 整個超粗魯，完全沒有感受病人的痛 我要補蛀牙，才幫我補兩顆 就跟我說要預約下次門診，下次再來補其他蛀牙 擺明就是坑我錢，我就一次補好幹嘛下次再來壓！ 只會跟護士聊天 連漱口的水杯都不知道有沒有換 當他遞預約卡給我，差點就快氣死_ 不過我忍著接下，一定要讓大家知道這位醫師真是?好到爆炸? 如果要去良昇，千萬不要給他看"
,"非常不推薦良昇,不管是拔牙或矯正! 之前看它網路評價很好,沒想到讓我失望透頂! 先說明我牙齒的狀況,是門牙跟門牙下面兩顆牙齒往內歪,看起來很擠 我之前有去那做矯正評估,矯正醫師每週六才會有,我到二樓等的時候,護士聊天講電話像菜市場ㄧ樣,很吵很不專業,接著評估時我跟醫師說我想做矯正,他就說:你這樣很可愛為什麼要做?然後我就問他那我如果要做牙套要拔幾顆牙,他就回答:我個人是比較""喜歡""先做牙套在拔啦......然後就不斷問""還有問題嗎?""ㄧ副想打發人的樣子,整個過程態度輕蔑口氣隨便讓人很不舒服 後來我又去品臻牙醫做評估,一去就照X光,才發現長了四顆智齒,醫生說是因為長智齒其他牙齒沒空間長,所以會往前推擠,也就是門牙跟門牙下面兩顆牙會歪的原因,他指著X光跟我說下面智齒靠近神經,拔不好臉會麻半年,然後就跟我說這些風險,他還說如果我要做牙套,可以不用拔牙齒(這點我有點驚訝,因為我去其他地方做評估時醫師都說要拔四顆),然後他就說他會建議用擴大牙弓的方式,我說這樣臉不就會變大?他就跟我說一般牙齒空間多多少臉才會變大(詳細內容我忘了),言下之意是臉會變得比原來大ㄧ點點!接著他又說做出來齒列就會在我現在門牙的位置,我ㄧ聽嚇ㄧ跳!這樣不就變小暴牙!矯正完變暴牙也太囧了吧!然後他就說我的智齒可以拔了,智齒拔掉牙齒就不會繼續歪下去了!這樣聽下來我不放心在這拔牙,所以想再試試良昇,因為矯正醫師跟其他拔牙醫生是不同的,朋友也推良昇的拔牙,我決定再相信良昇一次! 我在電話預約時就說我要拔智齒,護士說要看醫生評估再說,來了不保證可以拔! 輪到我時,我就問吳醫生(以下簡稱吳)今天可以拔幾顆牙? 吳:今天喔~零顆吧! 我:為什麼? 吳:我先看看再說 ............................................ 吳:根本沒長出來,真的是零顆! 我:可是我在別的地方看他說可以拔了! 吳:那你去那裡拔就好了,這我不會拔 我:喔~ 吳:會痛嗎!? 我:不會 吳:那幹麻拔? 我:因為我長智齒所以其他牙齒沒空間長,牙齒會越變越歪! 吳:我看你牙齒本來就這樣吧 我:沒有,原本是平的 吳:你是說乳牙的時候吧! 我:沒有,國高中時都很平 吳:(冷笑)不可能吧~你牙齒本來就這樣啦!不是智齒的問題! 我:.................... 吳:你去的那家矯正醫生有拔牙齒嗎? 我:有阿 吳:那你去那邊拔就好啦!這種我不會!一般來說有長一點出來比較好弄,你這什麼都沒有阿! 我:喔...... 吳:也許你真的有長智齒,可是現在什麼也看不到啦! 總之,態度很差,講話順便侮辱人,非常不推薦,再也不會去了!"
,推薦~良昇牙醫診所 在中壢火車站前站附近 我從小都在那看牙齒 今年去裝了顆磁牙 結果很滿意 我的同學都在那看牙齒 而且她們都是別人介紹去的 所以那家還蠻有名的 推薦你去~
,"我目前是在郵局總局附近的金石堂對面的""良昇""矯正。 矯正的費用會因為診所的收費、你的牙齒矯正的難易度等情況而不同。 所以實際上會需要多少錢，你要去診所讓醫生看過後才會知道，但是現在都可以分期付款了，所以矯正牙齒變得比較容易。 我在決定去良昇矯正前，曾去威尼斯附近一定外觀跟內部裝潢的診所看過，結果醫生說要12萬，光是矯正前的照(牙齒)片跟做齒模就要3000元。 後來有同事推薦良昇，雖然裝潢不是很漂亮，但是只要8萬，而且照片+齒模只要2000元，所以不同的診所，收費標準就差滿多的。 在那裡矯正的人好多喔，每次看診時都是一排人坐在那裡等很久，醫生也很親切喔!雖然我才矯正9個多月，但是原本有點暴的門牙，和突出來的虎牙，都已經變平了，還有我本來有無法咬合(上下排牙齒碰不到)的問題，現在也都可以咬合了，我覺得醫生的技術滿好的。不過矯正醫生只有星期六才看診喔，其他的時間聽說都是在台北的大醫院看診。 建議你可以到我矯正的診所讓醫生看看，也可以多去幾家做個比較。而且矯正事前有很多功課，像是我說的照牙齒的照片、做齒模(要收費的喔)、拔牙等，你都應該先有準備，才會不在看診時一頭混亂喔~~ 參考資料 by me"
,"非常不推薦良昇,不管是拔牙或矯正! 之前看它網路評價很好,沒想到讓我失望透頂! 先說明我牙齒的狀況,是門牙跟門牙下面兩顆牙齒往內歪,看起來很擠 我之前有去那做矯正評估,矯正醫師每週六才會有,我到二樓等的時候,護士聊天講電話像菜市場ㄧ樣,很吵很不專業,接著評估時我跟醫師說我想做矯正,他就說:你這樣很可愛為什麼要做?然後我就問他那我如果要做牙套要拔幾顆牙,他就回答:我個人是比較""喜歡""先做牙套在拔啦......然後就不斷問""還有問題嗎?""ㄧ副想打發人的樣子,整個過程態度輕蔑口氣隨便讓人很不舒服 "
,推薦~良昇牙醫診所 在中壢火車站前站附近 (金石堂斜對面) 我從小都在那看牙齒 今年去裝了顆磁牙 結果很滿意 我的同學都在那看牙齒 而且她們都是別人介紹去的 所以那家還蠻有名的 推薦你去~ 桃園縣中壢市建國路６７號 03 4250133
,去年我去治療我的蛀牙還有矯正因為口腔太小結果長歪了的門牙 那醫生技術不錯唷 ^_^ 我好幾次還在治療過程中睡著了...真尷尬 ^^ 上上個月我表妹也是蛀牙一直在叫痛，我幫她看了一下牙齒都蛀了一大半了 我也是叫她去那間，她拔完牙回來就吃吃喝喝的，一點都不像剛看完牙回來的樣子呢 ^_^
,"中壢的良昇矯正醫師態度好不好我不清楚 但是就親人口中所提的不錯的醫生有兩位 是裡面的黃院長跟蔡醫生 我是給蔡醫生看,態度不錯,不會想故意收你的錢 但是!!!!!!裡面有個牙助態度真的很差 我想就那一個而已!!{其他都態度oK} 我不知道她叫什麼名字 我知道特徵...頭髮很長(到腰)比起其他牙助妝畫比較濃!! 身高算是很高,服務時不會說""請""字,對醫師病人態度都不恭敬"
,"走路輕浮不像是認真又專業的護士= = 我只針對那個牙助不好!!! 而醫生們的醫術和品德我覺得OK 等我知道那牙助叫什麼名字我會投訴她=""= 看心情考慮公佈她的名"
,這是一篇會有後續記錄的牙醫診所推薦文~ 【大眾牙醫】中壢市新生路227號 ?(SOGO側邊的山隆加油站對面、85度C旁邊) ? ?個人習慣不好~衛生管理不周全...意思就是不常刷牙。 所以每隔一段時間就需要看牙醫。 台北新莊家時是都有固定的家庭牙醫， ?但是在中壢就很麻煩，不知道要去哪裡看； ?因為每次上網找「推薦」的牙醫診所， ?多少都會對大家的推點存疑。 每次的結果都是鼻子摸摸、乖乖回新莊看牙醫。 今天，蛀牙實在是讓我痛到不行了， 沒辦法好好思考論文怎麼寫； 十萬火急之下，就上網找找大家對中壢附近各家牙醫的評價， 最後決定到這家大眾牙醫試試。 這裡沒有年輕的小護士可以保養眼睛， 也沒有嶄新的裝潢讓人誤以為來到招待所； 有的，只是經驗老道、手藝不錯的牙醫師。 當然，這就夠了、也是我這篇推薦文的主推點： 今天去光顧的內容是檢查牙齒，磨牙、補洞。 但是我滿口蛀牙，且幾乎都已傷及神經， 還會回診做後續治療，屆時再繼續分享。? 這位牙醫有點年紀，待人親切， 還滿仔細跟人解說你口腔碰到甚麼問題、 不會讓人對自己的牙痛搞不清楚狀況。 治療的過程中也很在意患者牙疼的反應及疼痛的位置， 會看情況作調整的處置，所以我評價為經驗老道。 基本上今天全程順利，也還不需要麻醉， 沒給人「恐怖」的疼痛感受。 以往要補蛀牙，總是不免椎心刺骨一下， 那種直達腦門的鑽牙經驗，今天沒出現，感覺技術不錯； 至於後續，等4/20回診完再來貼文。?? ? 要張開口並容許各種電動工具進入活動， 實在是一件令人膽顫的事。? 不得不看牙醫的時候，又能對誰放心的嘴開開呢？ 如果看這篇推文的人，正為了找中壢附近的牙醫躊躇， 那我會推薦你去大眾試試。地址在開頭、不再贅述。
,「名揚牙醫」地址:中壢市中正路340號 電話:4947101我們全家的牙齒都在那看的，介紹過的朋友也都說不錯。
,基本上我覺得看牙醫最好是在白天看診！ 最好再加上預約，白天人比較少，醫生也比較閒會比較專心！ 想知道價錢不如打電話去問問_順便比較看看！ 龍潭我介紹．陳牙醫．杏昌牙醫．欣揚牙醫．最好找院長和白天去____ 中壢則．名揚牙醫 ．永潔牙醫．當代牙醫！ 由其是名揚大力推薦！！但指定院長要一星期預約最好白天去
,((名揚牙醫))中壢市中正路338號 電話:03-4947107 03-4947102 裡面一共有9位醫師；目前我女兒正接受矯正中(上、下顎)，之後會進行植牙(車禍斷3齒)。建議你自己去了解環境、認識醫生，如果覺得不錯再請醫師評估，每個人的狀況不逕相同，矯正方法也會有差異，價錢當然就不一樣啊!!
,在NOVA附近的名揚牙醫診所 裡面的醫生都很親切 很細心 也不會痛 我在中壢唸書都在那看 不過人超多歐 最好預約
,"我絕得你可以去杜牙醫,那間已經好幾十年了!!推推推 不錯!!!!!!!醫生人很好! 我記得好像是要現場預約喔!!!"
,中央西路SOGO新館那邊，KFC附近有一家遠東牙醫 遠東牙醫的林醫師不錯，是位女醫師，人很細心 我一直都是給他看的 你可以試試^_^ 參考資料 自己的牙醫師
,中壢遠東牙科 桃園縣中壢市中央西路1段65號 重視醫德 開業 20年
,遠東牙醫我覺滿不錯的 你可以去去看喔 在往夜市肯德基附近！ 可以找找看
,"中壢縱貫路上有一家王牙醫診所(在平交道對面,四海遊龍旁邊而已) 我覺得還不錯 我上個月才去抽神經裝蛀牙的牙套 那個醫生大概五十多歲吧 個性滿溫順的 只是他講話有時有點小聲= = 但我覺得他的技術還不錯就是了 我上次抽神經都不會痛喔 而且掛號費只要100塊 (現在很多都150塊吧) "
,"內壢火車站斜對面,中華路二段與興仁路一段路口的王牙醫也不錯,不過裝潢陳舊,跟現在裝潢的富麗堂皇的牙科比起來,還真不能看,別說你不習慣啊!!"
,我都ㄑ逢良牙醫診所. 中壢市新中北路97號. 03-4663569 (中原大學附近)看牙_醫生人很客氣有問必答.看診細心.設備也很新進!
,良銘..不優 要拔智齒 但因發炎 第一次去 開消炎藥 合理 第二次去 只替我洗牙 叫我隔天再去照x光片 為什麼不先替我照片子？ 死要錢 沒醫德！
,揚昇牙醫診所 中壢市龍東路九十四號 (03)4366357 我之前是給林醫師看的 不過2個醫師都不錯 但是......沒預約的話 要等很久...
,"這間是我最常去的,感覺還不錯 生意也很好 你可以去看看"
,很好阿!! 醫師人很好 我都在那邊看 雖然診所沒有像其他診所擁有光鮮亮麗的外表 不過診所收費相當公道唷 可以比較看看 而且聽說擁有兩種先進的雷射機器 我上次去抽神經 一次就用好了呢
,「康碩牙醫診所」，那是家小診所，只有一張診療椅，醫生也只有一個人，雖然小間，可是我覺得那個醫生人很好，會跟你聊天舒緩緊張的情緒。 而且我上次忘記帶錢包出門，他還沒有跟我收健保費，我還從他那邊拿了不少的牙膏、牙線、漱口水的。 我去年在那裡裝過一次假牙，那時候裝一顆是4500，但是現在有沒有漲價我不太曉得，所以提供給你參考一下。 因為他是個小診所，所以一定要記得先打電話去預約，不要直接去，有可能會看不到喔！ 康碩牙醫診所： 中壢市中山東路一段76號 (往火車站的高架橋下來差不多一、兩百公尺) 預約電話：03-4515726 門診時間： 上午：9:00~12:00 下午：3:00~9:00 周日上午9:00~12:00 每週三及國定假日全天休診
,以前我很怕看牙醫因為很害怕那電鑽的聲音? 所以就算有蛀牙? 我也會忍著不去看醫生或者是預約好看牙時間? 但前幾個小時我就會開始憂鬱但是自從去了康碩牙醫? 我再也不怕看牙醫了康碩診所外觀小小舊舊的? 燈光暗暗的? 不像其他診所很乾淨明亮但我還是鼓起勇氣走了進去店內只有一張診療椅? 也沒有漂亮的櫃檯小姐梁醫師人很安靜?? 不太愛理人 但其實後來發現醫師很親切? 重點是技術很好?? 當時我的牙齒因為蛀牙太嚴重結果吃東西就牙齒斷掉一大半(而且還是前面的牙齒)一般的診所一定會說沒辦法補要直接作假牙 但梁醫生幫我把牙齒補回去了  而且跟真牙一模一樣 之後一直到現在我還在那裡治療其他牙齒(因為蛀牙太多) 每次去都心情都好輕鬆  完全沒有壓力  也不會痛 現在的我很喜歡看牙醫 但是康碩牙醫是採電話預約制的(因為只有一個醫師) 一定要先撥電話約看診時間  不然一定看不到喔!
,中壢有一家 醫生人很好 但不愛說話 我第一次去是朋友介紹的 我好幾年沒看牙齒 連蛀8顆 ps:超怕看牙齒的人 沒想到 醫生技術很好 只有打麻醉會痛 其他一點都不會痛 也很溫柔 而且 他只有一個人 一對一服務 有人來他會叫他們 等一下再來 真的很不錯 他拯救了我 因為我多年不敢大笑... 地址如下↓ 康碩牙醫 中壢市中山東路一段７６號 03-4523474 希望能幫助到你^^ 參考資料 自己
,以前我很怕看牙醫 就算有蛀牙 我也會忍痛不去看醫生 康碩診所外觀舊舊的 燈光暗暗的 不像其他診所很乾淨明亮 但我還是鼓起勇氣走了進去 店內只有一張診療椅 也沒有漂亮的櫃檯小姐 梁醫師人很安靜 不太愛理人 但其實後來發現醫師很親切 重點是技術很好 當時我的牙齒因為蛀牙太嚴重結果吃東西就牙齒斷掉一大半 (而且還是前面的牙齒)一般的診所一定會說沒辦法補要直接作假牙 但梁醫生幫我把牙齒補回去了 而且跟真牙一模一樣 之後一直到現在我還在那裡治療其他牙齒 每次去都心情都好輕鬆 完全沒有壓力 也不會痛 現在的我很喜歡看牙醫
,我推薦這家，醫生人很好又細心，不過一定要預約，因為這家只有一個人在看，沒預約的話就要看運氣了！ 康碩牙醫
,中壢順泰牙醫的翁醫師不錯，這是我個人的經驗
,牙周病要找牙周病專科醫師比較好喔，我是去一家叫德暉牙醫，裡面的趙醫師看牙周病是專門的很有經驗，是牙周病協會的創會會員，而且人滿親切，看病感覺很舒服，可以去試試看喔~~ 地址：中壢市中山東路4段84號 電話：034659916
,我家附近就有無痛洗牙 我就用過 您可以去看看
,中壢有一家　是位在　家樂福的附近（　中山東路　）服務不錯　醫術也不錯　！！　超凡牙醫　金鋒市場旁邊
,我現在在弘恩牙醫矯正中，我也想知道許毅豪醫師好不好@@，是我朋友介紹我進去的，每次去看都很多人，我朋友是說弘恩牙醫風評不錯，裡面有2位醫師，價格因為是我朋友介紹的，所以有便宜到，如果沒人介紹的話，成人是8.8萬起跳，透明牙套要再加1萬嚕!!
,"看有人推跑ㄑ佳新看 那醫生講話一付跩258萬 (姓徐,是院長) 隨便給我看 拿ㄍ探針態度超粗魯隨便戳 感覺很差 換ㄍ牙套也一定要搭釘子(要多加1000) 一付死要錢_牙科 不推~~ "
,"我剛去拔完牙 那間還不錯喔 在中原 叫""佳新"" 星期六好像到晚上六點吧~ 醫生很好 我現在嘴巴還是麻的捏.. 佳新牙醫診所 中壢市中山東路２段９７號 03-4368220 不過要預約喔 因為很多人 星期日我不知道佳新牙醫診所有開，不然你可以打電話佳新牙醫診所的護士 參考資料 你要忍一點"
,"太扯了 又是自問自答 同樣的同答在隔了快一年還是在寫 ""我剛去拔完牙 那間還不錯喔 在中原 叫""佳新"" "" 打廣告打太兇了 去了真的很後悔 早知道就去大醫院了"
,最近因為智齒長歪 需要拔智齒 親戚介紹到佳新牙醫 覺得服務很好 我是給一位新醫生看的...姓阮...因為他是新醫生所以沒有名片.. 這位醫生讓我滿信任的 從一進去就先幫我拍了整個牙齒的X光片(不另外收費).. 然後很完整的跟我解說我牙齒目前的狀況 哪邊比較嚴重...要先做處理.. 每次都花很多時間跟我溝通...而且很有耐心...人很好... 這讓我覺得跟之前的牙醫看診經驗很不一樣 所以想跟大家推薦一下... 我在那邊拔了兩顆智齒 拔除後都不大會痛...醫生技術也滿好的..
,"中壢中山東路上有一間 小護士很不錯唷.. 醫生的功力很好.. 我都是去那裡看小護士...不是..是給醫生看.. 就在中山東路一段吧.. ""佳新""...沒記錯的話.. 在7-11的對面.. 天漸黑 心不想睡 點點星光 靜靜躺在黑夜 你曾說 在你心中 我是你唯一的夢 夢開始飛翔 在每一個晚上 心也會靜靜停在想你的地方 夢開始飛翔 飛翔在你如夢的晚上"
,中壢市中山東路二段與莒光路交會口 佳新牙醫...不錯. 新中北路的 永潔牙醫 也是不錯.. 二間都在中原大學附近... 天漸黑 心不想睡 點點星光 靜靜躺在黑夜 你曾說 在你心中 我是你唯一的夢 夢開始飛翔 在每一個晚上 心也會靜靜停在想你的地方 夢開始飛翔 飛翔在你如夢的晚上
,我也覺得..佳新...**醫生不好 那醫生講話一付跩258萬 (是院長) 隨便給我看.很粗魯(好幾次)痛到我大叫.才對不起 感覺很差
,我被佳新搞到要跑到壢新才有救 佳新只想賺錢 非常明顯 不信的話去試看看就了解 不是要你全部重補 就是叫你假牙全重做 過程中任何問題都敷衍的帶過 只能說看牙最好去大一點或多比較 後悔都來不及了 當初也是沒上網多看 早知就去大醫院 花小失大
,"我們全家都""慈惠牙醫診所""看牙.他在中壢市公所後面.不論診所氣氛或技術都相當好."
,中壢高中(陸橋附近)有個超品牙醫 還不錯 ˇˇ
,"我個人超推薦: 中壢超品牙醫 牙齒美白,植牙矯正等服務 03-4928869 中壢超品牙醫 牙齒美白,植牙矯正等服務 03-4928869 桃園縣中壢市桃園縣中壢市中央西路二段127號 很多人給他的評價都很好 而且，他人多到，要等好幾天呢 所以記得早幾天打電話去預掛喔! 祝你早日康復喔:) 參考資料 自己親身經驗^^"
,"夜市那邊有家叫品超還是超品的, 我覺得醫生態度不錯也很認真, 不過夜市人車多不好停車, 連機車都不好停, 我也想知道還有沒有別家,"
